2026-04-25 15:57:45 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-25 16:30:02 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 16:47:53 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 17:08:01 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-25 18:37:10 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-25 18:37:13 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 18:37:16 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 18:37:28 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 18:37:37 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 18:42:14 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 19:04:02 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 19:04:05 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 19:04:27 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-25 19:08:08 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-25 19:13:57 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-25 19:25:33 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-25 19:32:21 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-25 19:35:58 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-25 19:35:58 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-25 19:36:03 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 20:21:07 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 20:22:51 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 20:27:42 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-04-25 20:27:44 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-25 20:27:45 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 20:27:51 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 20:27:57 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 20:28:00 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 20:28:06 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 21:02:57 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-25 21:10:18 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 11:34:19 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-26 11:46:47 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 11:47:56 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 12:07:06 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 12:49:12 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-04-26 12:49:13 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 12:49:15 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 12:49:19 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 13:06:46 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 13:06:49 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 13:09:07 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 13:16:03 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 13:36:28 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 13:51:12 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 14:23:27 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 14:29:08 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 15:04:46 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 15:10:44 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 15:16:49 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 15:22:53 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 15:25:59 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 15:26:05 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 15:30:40 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 15:36:00 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 15:43:05 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-26 15:46:35 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 15:47:26 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 17:36:47 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 17:46:18 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 18:17:46 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 18:18:19 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 18:23:40 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 18:31:08 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 18:32:02 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 18:32:10 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 18:32:23 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 18:32:26 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-04-26 18:32:26 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 18:32:29 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 18:32:32 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 18:32:34 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-04-26 18:32:35 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 18:32:38 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 18:32:39 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-04-26 18:32:41 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 18:32:41 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 18:47:02 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 18:48:08 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 18:50:53 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 18:56:57 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 19:03:47 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 19:33:33 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 19:35:51 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 19:36:06 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 19:59:52 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-26 20:01:53 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 20:05:58 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 20:08:16 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-26 20:10:31 [info] [remote] network-interface change detected; probing SSH controllers
